area,month,B8_mean,B8A_mean
Rotenbuhl,2023-01,5433.040277885259,5617.530792409215
Rotenbuhl,2023-02,4889.667984540522,5087.571184483239
Rotenbuhl,2023-03,4737.395161113612,5067.322215081821
Rotenbuhl,2023-04,4907.30358833438,5198.879223472625
Rotenbuhl,2023-05,4768.431970061384,5123.91611584339
Rotenbuhl,2023-06,4708.700713638337,5031.65677451553
Rotenbuhl,2023-07,4773.883450562785,5112.502780080078
Rotenbuhl,2023-08,4707.591956400441,5034.4429112220705
Rotenbuhl,2023-09,5149.960866685759,5486.16510052395
Rotenbuhl,2023-10,5455.251906966261,5824.908996936851
Rotenbuhl,2023-11,5308.160510386419,5530.404150605117
Rotenbuhl,2023-12,4707.684491299557,5024.74278366731
Burbach,2023-01,4550.204471333302,4793.128270784357
Burbach,2023-02,4611.709486625138,4812.7702222828
Burbach,2023-03,4676.258933605788,5038.351587270175
Burbach,2023-04,4684.8896631478265,5037.411726360365
Burbach,2023-05,5927.338634544061,6161.3800643495815
Burbach,2023-06,4668.844791429986,4945.538557590479
Burbach,2023-07,4833.772876597129,5217.096888560135
Burbach,2023-08,4541.9027708986505,4866.128131644819
Burbach,2023-09,4878.197750497264,5229.20281665326
Burbach,2023-10,5309.569298977468,5652.236232498305
Burbach,2023-11,4499.5868770166335,4815.510347165485
Burbach,2023-12,4464.637549201514,4785.134138644847
